"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"30/12/2022","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.0000","0.0000"
"30/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","50.0000","200.5000"
"30/12/2022","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","5.06","120.0000","607.2000"
"30/12/2022","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","37.00","","0.0000","0.0000"
"30/12/2022","ALW","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.0000","0.0000"
"30/12/2022","ASG","8.87","8.87","8.87","8.87","8.87","8.87","0","","","0.0000","0.0000"
"30/12/2022","BOPP","7.65","6.00","7.65","7.65","7.65","7.65","0","7.65","","0.0000","0.0000"
"30/12/2022","CAL","0.91","0.65","0.65","0.65","0.65","0.65","0","0.60","0.65","18919.0000","12297.3500"
"30/12/2022","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","","0.03","10.0000","0.3000"
"30/12/2022","CMLT","0.11","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.0000","0.0000"
"30/12/2022","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.0000","0.0000"
"30/12/2022","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","0.0000","0.0000"
"30/12/2022","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.0000","0.0000"
"30/12/2022","EGH","7.60","6.50","6.64","6.64","6.64","6.64","0","","6.40","0.0000","0.0000"
"30/12/2022","EGL","3.30","2.79","3.20","3.20","3.20","3.20","0","","3.20","0.0000","0.0000"
"30/12/2022","ETI","0.20","0.13","0.15","0.15","0.15","0.15","0","","0.15","7391.0000","1108.6500"
"30/12/2022","FML","4.00","3.00","3.00","3.00","3.00","3.00","0","","3.00","0.0000","0.0000"
"30/12/2022","GCB","5.24","3.70","3.95","3.95","3.94","3.94","-0.01","","3.94","89429.0000","352350.3000"
"30/12/2022","GGBL","2.22","1.80","2.05","2.05","2.05","2.05","0","","2.05","0.0000","0.0000"
"30/12/2022","GLD","267.51","108.60","217.80","217.80","217.80","217.80","0","217.80","","0.0000","0.0000"
"30/12/2022","GOIL","1.82","1.72","1.72","1.72","1.71","1.72","0","","1.72","11.0000","18.9200"
"30/12/2022","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0","","","0.0000","0.0000"
"30/12/2022","IIL","0.05","0.04","0.04","0.04","0.04","0.04","0","","","0.0000","0.0000"
"30/12/2022","MAC","5.39","5.38","5.38","5.38","5.38","5.38","0","","5.39","0.0000","0.0000"
"30/12/2022","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0","","0.11","0.0000","0.0000"
"30/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","236979.0000","208541.5200"
"30/12/2022","PBC","0.03","0.02","0.02","0.02","0.02","0.02","0","","0.02","608.0000","12.1600"
"30/12/2022","POP","0.68","0.65","0.68","0.68","0.68","0.68","0","","","0.0000","0.0000"
"30/12/2022","RBGH","0.60","0.54","0.54","0.54","0.54","0.54","0","0.54","","195.0000","105.3000"
"30/12/2022","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0","0.55","","0.0000","0.0000"
"30/12/2022","SCB","20.30","20.16","20.16","20.16","20.16","20.16","0","","19.95","15.0000","299.2500"
"30/12/2022","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0","0.90","","600.0000","540.0000"
"30/12/2022","SIC","0.33","0.08","0.31","0.31","0.31","0.31","0","","0.31","266.0000","82.4600"
"30/12/2022","SOGEGH","1.20","0.96","1.00","1.00","1.00","1.00","0","","1.00","9.0000","9.0000"
"30/12/2022","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.0000","0.0000"
"30/12/2022","TBL","0.80","0.34","0.80","0.80","0.80","0.80","0","0.80","","0.0000","0.0000"
"30/12/2022","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","0.0000","0.0000"
"30/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.0000","0.0000"
"30/12/2022","UNIL","5.89","3.88","3.88","3.88","3.88","3.88","0","","3.50","5.0000","17.5000"
"29/12/2022","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.0000","0.0000"
"29/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","41.0000","164.4100"
"29/12/2022","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","5.06","0.0000","0.0000"
"29/12/2022","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","37.00","","0.0000","0.0000"
"29/12/2022","ALW","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.0000","0.0000"
"29/12/2022","ASG","8.87","8.87","8.87","8.87","8.87","8.87","0","","","0.0000","0.0000"
"29/12/2022","BOPP","7.65","6.00","7.65","7.65","7.65","7.65","0","7.65","","7500.0000","57375.0000"
"29/12/2022","CAL","0.91","0.65","0.65","0.65","0.65","0.65","0","0.65","","391.0000","254.1500"
"29/12/2022","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","","0.03","190.0000","5.7000"
"29/12/2022","CMLT","0.11","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.0000","0.0000"
"29/12/2022","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","","0.0000","0.0000"
"29/12/2022","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","45.0000","18.0000"
"29/12/2022","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.0000","0.0000"
"29/12/2022","EGH","7.60","6.50","6.64","6.64","6.64","6.64","0","","6.40","0.0000","0.0000"
"29/12/2022","EGL","3.30","2.79","3.20","3.20","3.20","3.20","0","","3.00","0.0000","0.0000"
"29/12/2022","ETI","0.20","0.13","0.15","0.15","0.15","0.15","0","","0.15","3170.0000","475.5000"
"29/12/2022","FML","4.00","3.00","3.00","3.00","3.00","3.00","0","","3.00","106.0000","318.0000"
"29/12/2022","GCB","5.24","3.70","3.95","3.95","3.95","3.95","0","","3.95","101.0000","398.9500"
"29/12/2022","GGBL","2.22","1.80","2.05","2.05","2.05","2.05","0","","2.05","0.0000","0.0000"
"29/12/2022","GLD","267.51","108.60","217.80","217.80","217.80","217.80","0","217.80","","0.0000","0.0000"
"29/12/2022","GOIL","1.82","1.72","1.72","1.72","1.71","1.72","0","","1.72","1.0000","1.7200"
"29/12/2022","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0","","","0.0000","0.0000"
"29/12/2022","IIL","0.05","0.04","0.04","0.04","0.04","0.04","0","","","0.0000","0.0000"
"29/12/2022","MAC","5.39","5.38","5.38","5.38","5.38","5.38","0","5.38","5.39","0.0000","0.0000"
"29/12/2022","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0","","0.11","0.0000","0.0000"
"29/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","149962.0000","131966.5600"
"29/12/2022","PBC","0.03","0.02","0.02","0.02","0.02","0.02","0","0.02","","0.0000","0.0000"
"29/12/2022","POP","0.68","0.65","0.68","0.68","0.68","0.68","0","","","0.0000","0.0000"
"29/12/2022","RBGH","0.60","0.54","0.54","0.54","0.54","0.54","0","","0.54","58.0000","31.3200"
"29/12/2022","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0","","","0.0000","0.0000"
"29/12/2022","SCB","20.30","20.16","20.16","20.16","20.16","20.16","0","","19.95","4.0000","79.8000"
"29/12/2022","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0","","0.90","0.0000","0.0000"
"29/12/2022","SIC","0.33","0.08","0.31","0.31","0.31","0.31","0","","0.31","194.0000","60.1400"
"29/12/2022","SOGEGH","1.20","0.96","1.00","1.00","1.00","1.00","0","","1.00","497.0000","497.0000"
"29/12/2022","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.0000","0.0000"
"29/12/2022","TBL","0.80","0.34","0.80","0.80","0.80","0.80","0","0.80","","0.0000","0.0000"
"29/12/2022","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","0.0000","0.0000"
