"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/12/2020","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.0000","0.0000"
"31/12/2020","ACCESS","5.00","4.39","4.39","4.39","4.39","4.39","0","","4.35","0.0000","0.0000"
"31/12/2020","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","","0.0000","0.0000"
"31/12/2020","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","","","0.0000","0.0000"
"31/12/2020","ALW","0.11","0.10","0.11","0.11","0.11","0.11","0","0.11","","0.0000","0.0000"
"31/12/2020","BOPP","2.86","2.00","2.00","2.00","2.00","2.00","0","","","0.0000","0.0000"
"31/12/2020","CAL","0.99","0.60","0.69","0.69","0.69","0.69","0","","0.69","0.0000","0.0000"
"31/12/2020","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","","","0.0000","0.0000"
"31/12/2020","CMLT","0.11","0.09","0.11","0.11","0.11","0.11","0","","","0.0000","0.0000"
"31/12/2020","CPC","0.03","0.02","0.03","0.03","0.03","0.03","0","0.03","","0.0000","0.0000"
"31/12/2020","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","0.0000","0.0000"
"31/12/2020","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.0000","0.0000"
"31/12/2020","EGH","8.09","4.96","6.55","6.55","7.20","7.20","0.65","6.55","","5000.0000","36000.0000"
"31/12/2020","EGL","1.88","1.40","1.40","1.40","1.40","1.40","0","1.41","","0.0000","0.0000"
"31/12/2020","ETI","0.09","0.06","0.08","0.08","0.08","0.08","0","0.08","","0.0000","0.0000"
"31/12/2020","FML","4.12","1.01","1.08","1.08","1.08","1.08","0","1.08","","0.0000","0.0000"
"31/12/2020","GCB","5.10","3.40","4.00","4.00","4.00","4.05","0.05","4.00","4.40","10900.0000","44360.0000"
"31/12/2020","GGBL","1.69","0.90","0.90","0.90","0.90","0.90","0","","","0.0000","0.0000"
"31/12/2020","GLD","109.40","54.00","105.50","105.50","105.50","105.50","0","","","0.0000","0.0000"
