"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/12/2025","ACCESS","16.40","5.20","16.20","16.20","16.20","16.20","0.00","16.20","0.00","122.0000","1976.4000"
"31/12/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","1.0000","5.0600"
"31/12/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","0.00","0.0000","0.0000"
"31/12/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.0000","0.0000"
"31/12/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","6.12","0.00","8.0000","48.9600"
"31/12/2025","BOPP","55.82","25.26","55.82","55.82","55.82","55.82","0.00","55.90","61.40","0.0000","0.0000"
"31/12/2025","CAL","0.90","0.33","0.62","0.62","0.62","0.64","0.02","0.00","0.62","322487.0000","206272.5800"
"31/12/2025","CLYD","0.46","0.03","0.46","0.46","0.46","0.46","0.00","0.50","0.00","0.0000","0.0000"
"31/12/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.0000","0.0000"
"31/12/2025","CPC","0.05","0.02","0.05","0.05","0.05","0.05","0.00","0.05","0.00","0.0000","0.0000"
"31/12/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","10.0000","3.8000"
"31/12/2025","EGH","25.00","6.25","25.00","25.00","25.00","25.00","0.00","22.50","25.00","692.0000","17300.0000"
"31/12/2025","EGL","3.48","1.98","3.48","3.48","3.49","3.48","0.00","3.49","0.00","1.0000","3.4900"
"31/12/2025","ETI","1.00","0.31","0.77","0.77","0.77","0.77","0.00","0.70","0.77","97515.0000","75086.5500"
"31/12/2025","FML","8.01","3.70","8.00","8.00","8.00","8.00","0.00","0.00","8.00","663.0000","5304.0000"
"31/12/2025","FAB","7.71","7.30","7.71","7.71","7.71","7.71","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2025","GCB","20.11","6.37","20.11","20.11","20.11","20.11","0.00","20.12","0.00","102.0000","2052.2400"
"31/12/2025","GGBL","6.60","5.47","6.60","6.60","6.60","6.60","0.00","0.00","6.60","4923.0000","32491.8000"
"31/12/2025","GOIL","2.96","1.52","2.96","2.96","2.96","2.96","0.00","2.97","0.00","126.0000","374.2200"
"31/12/2025","MAC","5.38","5.38","5.20","5.20","5.20","5.20","0.00","5.20","0.00","0.0000","0.0000"
"31/12/2025","MTNGH","4.52","2.50","4.20","4.20","4.20","4.20","0.00","4.20","4.21","178655.0000","750611.0000"
"31/12/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2025","RBGH","1.30","0.60","1.30","1.30","1.30","1.30","0.00","1.30","0.00","160.0000","208.0000"
"31/12/2025","SCB","29.22","23.00","29.22","29.22","29.25","29.22","0.00","29.25","0.00","100.0000","2925.0000"
"31/12/2025","SIC","1.20","0.27","1.20","1.20","1.20","1.20","0.00","1.09","1.20","60070.0000","72064.0000"
"31/12/2025","SOGEGH","4.50","1.50","4.49","4.49","4.49","4.49","0.00","0.00","4.49","4456.0000","20007.4400"
"31/12/2025","TBL","1.20","0.83","1.20","1.20","1.20","1.20","0.00","1.32","0.00","0.0000","0.0000"
"31/12/2025","TOTAL","40.65","13.12","40.30","40.30","40.30","40.30","0.00","0.00","40.30","3591.0000","144717.3000"
"31/12/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","0.00","0.0000","0.0000"
"31/12/2025","UNIL","20.50","19.50","19.79","19.79","19.79","19.79","0.00","19.79","0.00","61.0000","1207.1900"
"31/12/2025","AADS","0.42","0.41","0.42","0.42","0.42","0.42","0.00","0.42","0.00","0.0000","0.0000"
"31/12/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2025","GLD","508.31","338.83","480.00","480.00","480.00","480.00","0.00","480.00","0.00","20.0000","9600.0000"
"31/12/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.0000","0.0000"
"31/12/2025","IIL","0.05","0.04","0.05","0.05","0.05","0.05","0.00","0.00","0.05","0.0000","0.0000"
"31/12/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2025","ACCESS","16.40","5.20","16.20","16.20","16.20","16.20","0.00","16.20","0.00","407.0000","6593.4000"
"30/12/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","5.0000","25.3000"
"30/12/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","0.00","0.0000","0.0000"
"30/12/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.0000","0.0000"
"30/12/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","6.12","0.00","2.0000","12.2400"
"30/12/2025","BOPP","55.82","25.26","55.82","55.82","55.82","55.82","0.00","56.00","61.40","1.0000","56.0000"
"30/12/2025","CAL","0.90","0.33","0.60","0.60","0.62","0.62","0.02","0.62","0.63","122259.0000","75483.0600"
"30/12/2025","CLYD","0.46","0.03","0.46","0.46","0.46","0.46","0.00","0.50","0.00","0.0000","0.0000"
"30/12/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.0000","0.0000"
"30/12/2025","CPC","0.05","0.02","0.05","0.05","0.05","0.05","0.00","0.05","0.00","650.0000","32.5000"
"30/12/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.0000","0.0000"
"30/12/2025","EGH","25.00","6.25","25.00","25.00","25.00","25.00","0.00","25.00","0.00","2259.0000","56475.0000"
"30/12/2025","EGL","3.48","1.98","3.48","3.48","3.48","3.48","0.00","3.49","0.00","261.0000","910.8900"
"30/12/2025","ETI","1.00","0.31","0.77","0.77","0.77","0.77","0.00","0.77","0.80","84495.0000","65121.1500"
"30/12/2025","FML","8.01","3.70","8.00","8.00","8.00","8.00","0.00","7.20","8.00","3280.0000","26240.0000"
"30/12/2025","FAB","7.71","7.30","7.71","7.71","7.71","7.71","0.00","7.72","0.00","0.0000","0.0000"
"30/12/2025","GCB","20.11","6.37","20.11","20.11","20.11","20.11","0.00","20.11","0.00","1660.0000","33382.6000"
