"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/12/2024","ACCESS","5.20","3.40","5.20","5.20","5.20","5.20","0.00","5.20","0.00","0.0000","0.0000"
"31/12/2024","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.0000","0.0000"
"31/12/2024","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.0000","0.0000"
"31/12/2024","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2024","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.0000","0.0000"
"31/12/2024","ALLGH","6.15","4.40","6.12","6.12","6.12","6.12","0.00","0.00","0.00","70.0000","428.4000"
"31/12/2024","BOPP","25.26","21.53","25.26","25.26","25.26","25.26","0.00","26.20","0.00","0.0000","0.0000"
"31/12/2024","CAL","0.50","0.26","0.35","0.35","0.35","0.35","0.00","0.35","0.00","132.0000","46.2000"
"31/12/2024","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.0000","0.0000"
"31/12/2024","CMLT","0.14","0.10","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.0000","0.0000"
"31/12/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","14.0000","0.2800"
"31/12/2024","DASPHARMA","0.40","0.33","0.38","0.38","0.38","0.38","0.00","0.38","0.40","0.0000","0.0000"
"31/12/2024","EGH","6.50","5.48","6.50","6.50","6.50","6.50","0.00","6.50","0.00","1.0000","6.5000"
"31/12/2024","EGL","2.39","1.32","1.98","1.98","1.98","1.98","0.00","1.98","0.00","176.0000","348.4800"
"31/12/2024","ETI","0.31","0.15","0.31","0.31","0.31","0.31","0.00","0.31","0.00","0.0000","0.0000"
"31/12/2024","FML","3.70","3.19","3.70","3.70","3.70","3.70","0.00","3.70","0.00","0.0000","0.0000"
"31/12/2024","GCB","6.37","3.40","6.37","6.37","6.37","6.37","0.00","6.37","0.00","3314.0000","21110.1800"
"31/12/2024","GGBL","5.50","3.40","5.50","5.50","5.50","5.50","0.00","5.50","0.00","337.0000","1853.5000"
"31/12/2024","GOIL","1.52","1.50","1.52","1.52","1.52","1.52","0.00","1.52","1.59","2.0000","3.0400"
"31/12/2024","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.0000","0.0000"
"31/12/2024","MTNGH","2.50","1.39","2.50","2.50","2.50","2.50","0.00","2.50","2.60","90298.0000","225745.0000"
"31/12/2024","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2024","RBGH","0.66","0.48","0.66","0.66","0.66","0.66","0.00","0.60","0.66","51.0000","33.6600"
"31/12/2024","SCB","23.00","17.53","23.00","23.00","23.00","23.00","0.00","25.00","0.00","0.0000","0.0000"
"31/12/2024","SIC","0.27","0.24","0.27","0.27","0.27","0.27","0.00","0.27","0.00","0.0000","0.0000"
"31/12/2024","SOGEGH","1.57","1.50","1.50","1.50","1.50","1.50","0.00","0.00","1.50","679.0000","1018.5000"
"31/12/2024","TBL","0.83","0.82","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.0000","0.0000"
"31/12/2024","TOTAL","13.12","9.00","13.12","13.12","13.12","13.12","0.00","13.20","0.00","0.0000","0.0000"
"31/12/2024","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","0.0000","0.0000"
"31/12/2024","UNIL","19.50","8.11","19.50","19.50","19.50","19.50","0.00","19.50","0.00","0.0000","0.0000"
"31/12/2024","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2024","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2024","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.0000","0.0000"
"31/12/2024","GLD","453.10","218.50","390.50","390.50","390.50","390.50","0.00","390.50","0.00","0.0000","0.0000"
"31/12/2024","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2024","MMH","0.11","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.0000","0.0000"
"31/12/2024","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.0000","0.0000"
"31/12/2024","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.00","0.0000","0.0000"
"31/12/2024","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.0000","0.0000"
"30/12/2024","ACCESS","5.20","3.40","5.20","5.20","5.20","5.20","0.00","5.20","0.00","7000.0000","36400.0000"
"30/12/2024","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","2.0000","10.1200"
"30/12/2024","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.0000","0.0000"
"30/12/2024","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2024","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.0000","0.0000"
"30/12/2024","ALLGH","6.15","4.40","6.13","6.13","6.12","6.12","-0.01","0.00","0.00","1804.0000","11040.4800"
"30/12/2024","BOPP","25.26","21.53","25.26","25.26","25.26","25.26","0.00","26.20","0.00","2.0000","52.4000"
"30/12/2024","CAL","0.50","0.26","0.35","0.35","0.35","0.35","0.00","0.35","0.00","112500.0000","39375.0000"
"30/12/2024","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.0000","0.0000"
"30/12/2024","CMLT","0.14","0.10","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.0000","0.0000"
"30/12/2024","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.0000","0.0000"
"30/12/2024","DASPHARMA","0.40","0.33","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.0000","0.0000"
"30/12/2024","EGH","6.50","5.48","6.50","6.50","6.50","6.50","0.00","6.50","0.00","0.0000","0.0000"
"30/12/2024","EGL","2.39","1.32","1.98","1.98","1.98","1.98","0.00","1.98","0.00","31.0000","61.3800"
"30/12/2024","ETI","0.31","0.15","0.31","0.31","0.31","0.31","0.00","0.31","0.00","0.0000","0.0000"
"30/12/2024","FML","3.70","3.19","3.70","3.70","3.70","3.70","0.00","3.70","0.00","1.0000","3.7000"
"30/12/2024","GCB","6.37","3.40","6.37","6.37","6.37","6.37","0.00","6.37","0.00","2306.0000","14689.2200"
"30/12/2024","GGBL","5.50","3.40","5.50","5.50","5.50","5.50","0.00","5.50","0.00","1.0000","5.5000"
"30/12/2024","GOIL","1.52","1.50","1.52","1.52","1.52","1.52","0.00","1.52","1.59","111.0000","168.7200"
"30/12/2024","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.0000","0.0000"
"30/12/2024","MTNGH","2.50","1.39","2.50","2.50","2.50","2.50","0.00","2.50","0.00","136283.0000","340707.5000"
"30/12/2024","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2024","RBGH","0.66","0.48","0.66","0.66","0.66","0.66","0.00","0.60","0.66","326.0000","215.1600"
"30/12/2024","SCB","23.00","17.53","23.00","23.00","23.00","23.00","0.00","25.00","0.00","0.0000","0.0000"
"30/12/2024","SIC","0.27","0.24","0.27","0.27","0.27","0.27","0.00","0.27","0.00","3.0000","0.8100"
"30/12/2024","SOGEGH","1.57","1.50","1.50","1.50","1.50","1.50","0.00","0.00","1.50","14.0000","21.0000"
"30/12/2024","TBL","0.83","0.82","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.0000","0.0000"
"30/12/2024","TOTAL","13.12","9.00","13.12","13.12","13.12","13.12","0.00","13.20","0.00","1.0000","13.2000"
"30/12/2024","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","23.0000","274.1600"
"30/12/2024","UNIL","19.50","8.11","19.50","19.50","19.50","19.50","0.00","19.50","0.00","0.0000","0.0000"
"30/12/2024","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2024","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2024","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.0000","0.0000"
"30/12/2024","GLD","453.10","218.50","391.29","391.29","390.50","390.50","-0.79","390.50","0.00","2462.0000","961411.7900"
"30/12/2024","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2024","MMH","0.11","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.0000","0.0000"
"30/12/2024","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.0000","0.0000"
"30/12/2024","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.00","0.0000","0.0000"
"30/12/2024","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.0000","0.0000"
"30/12/2024","","","","","","","","","","","",""
"27/12/2024","ACCESS","5.20","3.40","5.20","5.20","5.20","5.20","0.00","5.20","0.00","0.0000","0.0000"
"27/12/2024","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.0000","0.0000"
