"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/12/2021","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.0000","0.0000"
"31/12/2021","ACCESS","4.39","3.15","3.15","3.15","3.15","3.15","0","","3.15","0.0000","0.0000"
"31/12/2021","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","","0.0000","0.0000"
"31/12/2021","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","","","0.0000","0.0000"
"31/12/2021","ALW","0.11","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.0000","0.0000"
"31/12/2021","BOPP","6.65","2.00","6.65","6.65","6.65","6.65","0","","6.65","0.0000","0.0000"
"31/12/2021","CAL","0.87","0.60","0.87","0.87","0.87","0.87","0","0.87","","12800.0000","11136.0000"
"31/12/2021","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","","0.03","0.0000","0.0000"
"31/12/2021","CMLT","0.11","0.11","0.11","0.11","0.11","0.11","0","","0.11","0.0000","0.0000"
"31/12/2021","CPC","0.03","0.02","0.02","0.02","0.02","0.02","0","","","0.0000","0.0000"
"31/12/2021","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","0.0000","0.0000"
"31/12/2021","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.0000","0.0000"
"31/12/2021","EGH","7.81","7.00","7.60","7.60","7.60","7.60","0","","7.60","0.0000","0.0000"
"31/12/2021","EGL","2.79","1.40","2.79","2.79","2.79","2.79","0","","3.00","0.0000","0.0000"
"31/12/2021","ETI","0.14","0.05","0.14","0.14","0.14","0.14","0","","0.14","60780.0000","8509.2000"
"31/12/2021","FML","5.14","1.08","4.00","4.00","4.00","4.00","0","","4.00","0.0000","0.0000"
"31/12/2021","GCB","5.40","4.05","5.24","5.24","5.24","5.24","0","","5.24","4566.0000","23925.8400"
"31/12/2021","GGBL","1.81","0.90","1.80","1.80","1.80","1.80","0","","1.80","0.0000","0.0000"
"31/12/2021","GLD","108.60","97.30","108.60","108.60","108.60","108.60","0","","","0.0000","0.0000"
"31/12/2021","GOIL","1.82","1.50","1.82","1.82","1.82","1.82","0","","1.82","1175.0000","2138.5000"
"31/12/2021","GSR","9.50","9.50","9.50","9.50","9.50","9.50","0","","","0.0000","0.0000"
"31/12/2021","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0","","","0.0000","0.0000"
"31/12/2021","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0","","0.05","0.0000","0.0000"
"31/12/2021","MAC","5.98","5.39","5.39","5.39","5.39","5.39","0","","","0.0000","0.0000"
"31/12/2021","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0","","","0.0000","0.0000"
"31/12/2021","MTNGH","1.33","0.64","1.12","1.12","1.12","1.11","-0.01","","1.10","83092.0000","92596.4900"
"31/12/2021","PBC","0.03","0.03","0.03","0.03","0.03","0.03","0","","0.03","0.0000","0.0000"
"31/12/2021","POP","0.65","0.60","0.65","0.65","0.65","0.65","0","","","0.0000","0.0000"
"31/12/2021","RBGH","0.60","0.41","0.60","0.60","0.60","0.60","0","","","0.0000","0.0000"
"31/12/2021","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0","","","0.0000","0.0000"
"31/12/2021","SCB","20.35","16.31","20.30","20.30","20.30","20.30","0","","20.30","0.0000","0.0000"
"31/12/2021","SCB PREF","0.90","0.87","0.90","0.90","0.90","0.90","0","","0.90","0.0000","0.0000"
"31/12/2021","SIC","0.08","0.07","0.08","0.08","0.08","0.08","0","0.08","","0.0000","0.0000"
"31/12/2021","SOGEGH","1.25","0.64","1.20","1.20","1.20","1.20","0","1.20","","16528.0000","19833.6000"
"31/12/2021","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.0000","0.0000"
"31/12/2021","TBL","0.34","0.34","0.34","0.34","0.34","0.34","0","0.35","","0.0000","0.0000"
"31/12/2021","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","0.0000","0.0000"
"31/12/2021","TOTAL","5.52","2.83","5.02","5.02","5.02","5.02","0","5.02","5.48","0.0000","0.0000"
"31/12/2021","UNIL","8.29","2.00","5.89","5.89","5.89","5.89","0","","5.89","0.0000","0.0000"
"30/12/2021","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.0000","0.0000"
"30/12/2021","ACCESS","4.39","3.15","3.15","3.15","3.15","3.15","0","","3.15","2030.0000","6394.5000"
