"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"26/06/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","31.90","35.05","169","5,391.10"
"26/06/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","73","386.90"
"26/06/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"26/06/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"26/06/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","5","44.45"
"26/06/2026","ALLGH","8.46","6.12","8.46","8.46","8.46","8.46","0.00","","8.46","3,887","32,884.02"
"26/06/2026","BOPP","100.00","55.82","79.99","79.99","79.99","79.99","0.00","79.99","","0","0.00"
"26/06/2026","CAL","0.94","0.61","0.82","0.82","0.80","0.81","-0.01","0.79","0.80","904,631","739,781.98"
"26/06/2026","CLYD","2.95","0.46","2.95","2.95","2.95","2.95","0.00","3.24","","0","0.00"
"26/06/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"26/06/2026","CPC","0.13","0.05","0.13","0.13","0.13","0.13","0.00","0.14","","0","0.00"
"26/06/2026","DASPHARMA","0.41","0.38","0.41","0.41","0.41","0.41","0.00","0.44","","1,118","480.74"
"26/06/2026","EGH","57.00","25.00","33.67","33.67","33.67","33.67","0.00","30.31","33.67","2,898","97,575.66"
"26/06/2026","EGL","12.16","3.48","10.05","10.05","10.05","10.05","0.00","10.05","","10,021","100,711.05"
"26/06/2026","ETI","2.82","0.76","2.28","2.28","2.27","2.27","-0.01","2.27","2.28","209,127","474,741.16"
"26/06/2026","FML","16.35","8.00","13.50","13.50","13.34","13.34","-0.16","","13.34","6,695","89,311.30"
"26/06/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","0","0.00"
"26/06/2026","GCB","52.00","20.11","39.00","39.00","39.00","39.00","0.00","39.00","40.50","1,532","59,748.00"
"26/06/2026","GGBL","16.50","6.60","11.99","11.99","11.99","11.99","0.00","","11.98","881","10,557.76"
"26/06/2026","GOIL","8.01","2.96","7.50","7.50","7.50","7.50","0.00","","7.50","16,318","122,385.00"
"26/06/2026","KASA","2.30","1.20","2.10","2.10","1.99","1.99","-0.11","","2.01","2,421,114","4,821,524.77"
"26/06/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"26/06/2026","MTNGH","6.80","4.20","6.44","6.44","6.49","6.46","0.02","6.47","6.49","1,233,371","7,972,277.49"
"26/06/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"26/06/2026","RBGH","5.58","1.30","4.39","4.39","4.20","4.39","0.00","","4.30","14,000","58,980.00"
"26/06/2026","SCB","79.41","29.22","71.00","71.00","70.90","71.00","0.00","","70.90","80","5,674.50"
"26/06/2026","SIC","6.09","1.20","6.05","6.05","6.03","6.03","-0.02","","6.03","19,656","118,526.10"
"26/06/2026","SOGEGH","11.51","4.49","6.80","6.80","6.80","6.80","0.00","","6.80","7,930","53,924.00"
"26/06/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0","0.00"
"26/06/2026","TOTAL","40.30","32.91","36.00","36.00","39.60","36.00","0.00","36.00","39.59","118","4,626.00"
"26/06/2026","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","","0","0.00"
"26/06/2026","UNIL","30.00","19.79","29.50","29.50","29.50","29.50","0.00","29.50","","326","9,617.00"
"26/06/2026","ZEN","12.61","5.00","10.01","10.01","10.01","10.99","0.98","10.99","","1,001","11,000.99"
"26/06/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"26/06/2026","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","","0","0.00"
"26/06/2026","GLD","533.93","466.72","462.00","462.00","462.00","462.00","0.00","462.00","","5","2,310.00"
"26/06/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"26/06/2026","MMH","0.11","0.10","0.11","0.11","0.11","0.11","0.00","0.11","","0","0.00"
"26/06/2026","HORDS","0.11","0.09","0.11","0.11","0.11","0.11","0.00","0.11","","50","5.50"
"26/06/2026","IIL","0.16","0.05","0.15","0.15","0.16","0.16","0.01","0.16","","2,930,505","468,880.80"
"26/06/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.09","","0","0.00"
"25/06/2026","ACCESS","46.64","16.20","31.90","31.90","31.90","31.90","0.00","","31.90","1,147","36,589.30"
"25/06/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","2","10.60"
"25/06/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"25/06/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"25/06/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","1","8.89"
"25/06/2026","ALLGH","8.46","6.12","8.46","8.46","8.46","8.46","0.00","","8.46","983","8,316.18"
"25/06/2026","BOPP","100.00","55.82","79.99","79.99","79.99","79.99","0.00","","","1,238","99,027.62"
"25/06/2026","CAL","0.94","0.61","0.82","0.82","0.82","0.82","0.00","0.79","0.82","402,169","331,715.41"
"25/06/2026","CLYD","2.95","0.46","2.74","2.74","2.95","2.95","0.21","2.83","","4,100","12,080.00"
"25/06/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"25/06/2026","CPC","0.13","0.05","0.13","0.13","0.13","0.13","0.00","0.14","","0","0.00"
"25/06/2026","DASPHARMA","0.41","0.38","0.41","0.41","0.41","0.41","0.00","0.43","","1","0.41"
"25/06/2026","EGH","57.00","25.00","33.67","33.67","33.67","33.67","0.00","","33.67","217,149","7,311,703.75"
"25/06/2026","EGL","12.16","3.48","10.05","10.05","10.05","10.05","0.00","","10.05","10,582","106,349.10"
"25/06/2026","ETI","2.82","0.76","2.28","2.28","2.28","2.28","0.00","","2.27","49,372","112,463.85"
"25/06/2026","FML","16.35","8.00","13.50","13.50","13.50","13.50","0.00","13.20","13.34","322","4,295.48"
"25/06/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","0","0.00"
"25/06/2026","GCB","52.00","20.11","37.41","37.41","39.00","39.00","1.59","39.00","","1,600","62,400.00"
"25/06/2026","GGBL","16.50","6.60","12.97","12.97","11.99","11.99","-0.98","","12.97","4,409","53,544.80"
"25/06/2026","GOIL","8.01","2.96","7.50","7.50","7.50","7.50","0.00","","7.50","69,969","524,767.50"
"25/06/2026","KASA","2.30","1.20","2.23","2.23","2.10","2.10","-0.13","","2.01","589,203","1,234,064.19"
"25/06/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","","","0","0.00"
"25/06/2026","MTNGH","6.80","4.20","6.50","6.50","6.44","6.44","-0.06","6.42","6.45","573,459","3,693,178.82"
"25/06/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"25/06/2026","RBGH","5.58","1.30","4.50","4.50","4.39","4.39","-0.11","4.20","4.50","10,371","45,968.10"
"25/06/2026","SCB","79.41","29.22","71.00","71.00","71.00","71.00","0.00","","71.00","427","30,317.00"
"25/06/2026","SIC","6.09","1.20","6.05","6.05","6.05","6.05","0.00","","6.03","6,281","37,990.39"
"25/06/2026","SOGEGH","11.51","4.49","6.80","6.80","6.80","6.80","0.00","","6.80","32,300","219,640.00"
"25/06/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0","0.00"
"25/06/2026","TOTAL","40.30","32.91","36.00","36.00","36.00","36.00","0.00","36.00","39.60","211","7,596.00"
"25/06/2026","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","","33","393.36"
"25/06/2026","UNIL","30.00","19.79","29.50","29.50","29.50","29.50","0.00","","29.50","664","19,588.00"
"25/06/2026","ZEN","12.61","5.00","10.01","10.01","10.01","10.01","0.00","10.01","","411","4,114.11"
"25/06/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"25/06/2026","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","","0","0.00"
"25/06/2026","GLD","533.93","466.72","462.00","462.00","462.00","462.00","0.00","462.00","","18","8,316.00"
"25/06/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.55","","0","0.00"
"25/06/2026","MMH","0.11","0.10","0.11","0.11","0.11","0.11","0.00","0.11","","6","0.66"
