"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"29/12/2023","ACCESS","4.01","2.82","3.40","3.40","3.40","3.40","0.00","3.40","0.00","0.0000","0.0000"
"29/12/2023","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.0000","0.0000"
"29/12/2023","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.0000","0.0000"
"29/12/2023","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","ASG","8.89","8.87","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.0000","0.0000"
"29/12/2023","BOPP","22.00","7.65","22.00","22.00","22.00","22.00","0.00","0.00","22.00","1501.0000","3022.0000"
"29/12/2023","CAL","0.65","0.47","0.48","0.48","0.48","0.48","0.00","0.00","0.48","29288.0000","14058.2400"
"29/12/2023","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.0000","0.0000"
"29/12/2023","CMLT","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.10","0.00","0.0000","0.0000"
"29/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.0000","0.0000"
"29/12/2023","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0.00","0.00","0.39","0.0000","0.0000"
"29/12/2023","EGH","7.00","3.80","5.50","5.50","5.50","5.50","0.00","5.50","5.70","346.0000","1903.0000"
"29/12/2023","EGL","3.20","2.39","2.39","2.39","2.39","2.39","0.00","0.00","2.39","0.0000","0.0000"
"29/12/2023","ETI","0.15","0.15","0.15","0.15","0.15","0.15","0.00","0.00","0.15","0.0000","0.0000"
"29/12/2023","FML","3.25","1.00","3.25","3.25","3.25","3.25","0.00","3.25","0.00","0.0000","0.0000"
"29/12/2023","GCB","3.94","3.15","3.40","3.40","3.40","3.40","0.00","3.40","0.00","0.0000","0.0000"
"29/12/2023","GGBL","3.40","1.37","3.40","3.40","3.40","3.40","0.00","0.00","3.40","5739.0000","19512.6000"
"29/12/2023","GOIL","1.72","1.45","1.50","1.50","1.50","1.50","0.00","0.00","1.50","6504.0000","9756.0000"
"29/12/2023","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","5.38","0.00","0.0000","0.0000"
"29/12/2023","MTNGH","1.55","0.82","1.40","1.40","1.40","1.40","0.00","1.35","1.40","45509.0000","63712.6000"
"29/12/2023","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","RBGH","0.54","0.48","0.48","0.48","0.48","0.48","0.00","0.00","0.48","301.0000","144.4800"
"29/12/2023","SCB","20.16","12.50","17.55","17.55","17.55","17.55","0.00","17.55","19.30","0.0000","0.0000"
"29/12/2023","SIC","0.31","0.20","0.24","0.24","0.24","0.24","0.00","0.00","0.24","0.0000","0.0000"
"29/12/2023","SOGEGH","1.58","0.59","1.57","1.57","1.57","1.57","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","TBL","0.82","0.80","0.82","0.82","0.82","0.82","0.00","0.85","0.00","0.0000","0.0000"
"29/12/2023","TOTAL","9.00","4.00","9.00","9.00","9.00","9.00","0.00","9.00","9.90","300.0000","2700.0000"
"29/12/2023","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","0.0000","0.0000"
"29/12/2023","UNIL","8.11","2.06","8.11","8.11","8.11","8.11","0.00","8.11","0.00","0.0000","0.0000"
"29/12/2023","","0.00","0.00","0.00","0.00","0.00","0.00","","","0.00","89488.0000","114808.9200"
"29/12/2023","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.41","0.00","0.0000","0.0000"
"29/12/2023","","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.0000","0.0000"
"29/12/2023","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.0000","0.0000"
"29/12/2023","GLD","250.00","187.20","218.50","218.50","218.50","218.50","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.0000","0.0000"
"29/12/2023","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0.00","0.00","0.00","0.0000","0.0000"
"29/12/2023","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.0000","0.0000"
"29/12/2023","IIL","0.05","0.04","0.05","0.05","0.05","0.05","0.00","0.04","0.00","0.0000","0.0000"
"29/12/2023","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.0000","0.0000"
"28/12/2023","ACCESS","4.01","2.82","3.40","3.40","3.40","3.40","0.00","3.40","0.00","0.0000","0.0000"
"28/12/2023","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.0000","0.0000"
"28/12/2023","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.0000","0.0000"
"28/12/2023","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.0000","0.0000"
"28/12/2023","ASG","8.89","8.87","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.0000","0.0000"
"28/12/2023","BOPP","22.00","7.65","22.00","22.00","22.00","22.00","0.00","22.00","24.00","0.0000","0.0000"
"28/12/2023","CAL","0.65","0.47","0.48","0.48","0.48","0.48","0.00","0.00","0.48","4599.0000","2207.5200"
"28/12/2023","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.0000","0.0000"
"28/12/2023","CMLT","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.10","0.00","0.0000","0.0000"
"28/12/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.0000","0.0000"
"28/12/2023","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0.00","0.00","0.39","0.0000","0.0000"
"28/12/2023","EGH","7.00","3.80","5.50","5.50","5.50","5.50","0.00","5.00","5.50","6.0000","33.0000"
"28/12/2023","EGL","3.20","2.39","2.39","2.39","2.39","2.39","0.00","0.00","2.38","2.0000","4.7600"
"28/12/2023","ETI","0.15","0.15","0.15","0.15","0.15","0.15","0.00","0.00","0.15","182.0000","27.3000"
"28/12/2023","FML","3.25","1.00","3.25","3.25","3.25","3.25","0.00","3.25","0.00","0.0000","0.0000"
"28/12/2023","GCB","3.94","3.15","3.40","3.40","3.40","3.40","0.00","3.40","0.00","2114.0000","7187.6000"
"28/12/2023","GGBL","3.40","1.37","3.40","3.40","3.40","3.40","0.00","0.00","3.39","0.0000","0.0000"
"28/12/2023","GOIL","1.72","1.45","1.50","1.50","1.50","1.50","0.00","0.00","1.49","0.0000","0.0000"
